627.cam4_s-490B.champsimtrace.xzcumulative,IPC:,0.801249,0.850639,7297116,2462928,3133280,,1397420,1642790,1154930,1139670,487864,257752,0.986787078004728,0.528327566698916,0.850638243476038
627.cam4_s-573B.champsimtrace.xzcumulative,IPC:,0.664099,0.575182,1150006,185024,596479,,41944,72923,27384,25389,45539,16555,0.927147239263804,0.363534552800896,0.575182041331267
628.pop2_s-17B.champsimtrace.xzcumulative,IPC:,0.994875,0.710289,3419489,2302509,2270490,,762527,1073540,528555,494601,544990,267926,0.935760706076,0.49161635993321,0.710292117666785
631.deepsjeng_s-928B.champsimtrace.xzcumulative,IPC:,0.546866,0.0459315,29149,12143,65200,,429,9340,3,0,9337,429,0,0.045946235407519,0.04593147751606
638.imagick_s-10316B.champsimtrace.xzcumulative,IPC:,1.69297,0.52123,9139275,1479547,2223560,,12153,23316,10042,9954,13274,2199,0.991236805417248,0.165662196775652,0.521230056613484
638.imagick_s-4128B.champsimtrace.xzcumulative,IPC:,1.36189,0.569582,15430,138297,26709,,25957,45572,19379,19350,26193,6607,0.998503534754115,0.252242965677853,0.569582199596243
638.imagick_s-824B.champsimtrace.xzcumulative,IPC:,0.589693,0.571975,31326,444633,53371,,51849,90649,38767,38765,51882,13084,0.999948409729925,0.252187656605374,0.571975421681431
641.leela_s-1052B.champsimtrace.xzcumulative,IPC:,0.413755,0.286297,254715,61331,441383,,2808,9808,1091,1023,8717,1785,0.937671860678277,0.204772284042675,0.286296900489396
641.leela_s-1083B.champsimtrace.xzcumulative,IPC:,0.386304,0.574887,545315,2433608,848404,,322083,560254,205898,204970,354356,117113,0.99549291396711,0.330495321089526,0.574887461758417
641.leela_s-149B.champsimtrace.xzcumulative,IPC:,0.408762,0.834165,22499,4275,322028,,40311,48325,30436,29886,17889,10425,0.981929294256801,0.582760355525742,0.834164511122607
641.leela_s-334B.champsimtrace.xzcumulative,IPC:,0.409639,0.597063,67112,190420,216572,,17931,30032,12429,12387,17603,5544,0.996620806179097,0.314946315968869,0.597063132658498
641.leela_s-602B.champsimtrace.xzcumulative,IPC:,0.40444,0.903555,205417,157397,420304,,99701,110343,90238,89754,20105,9947,0.994636405948713,0.494752549117135,0.903555277634286
641.leela_s-800B.champsimtrace.xzcumulative,IPC:,0.407785,0.560287,210982,298366,437549,,30102,53726,19424,19255,34302,10847,0.99129942339374,0.316220628534779,0.560287384134311
641.leela_s-862B.champsimtrace.xzcumulative,IPC:,0.40796,0.302106,208748,58943,351832,,2209,7312,945,860,6367,1349,0.91005291005291,0.211873723888802,0.302106126914661
644.nab_s-12459B.champsimtrace.xzcumulative,IPC:,0.555514,0.707201,903088,114250,1547920,,7159,10123,881,701,9242,6458,0.795686719636776,0.698766500757412,0.70720142250321
644.nab_s-12521B.champsimtrace.xzcumulative,IPC:,0.799707,0.649602,2507576,691342,1586190,,152531,234807,59787,57321,175020,95210,0.958753575191931,0.5439949720032,0.649601587686909
644.nab_s-5853B.champsimtrace.xzcumulative,IPC:,0.645785,0.63106,2340595,359478,1030070,,45950,72814,19642,19205,53172,26745,0.977751756440281,0.502990295644324,0.631059960996512
644.nab_s-7928B.champsimtrace.xzcumulative,IPC:,0.612038,0.656138,7275330,936564,2309680,,123951,188910,56446,55677,132464,68274,0.986376359706622,0.515415509119459,0.6561378434175
644.nab_s-9322B.champsimtrace.xzcumulative,IPC:,0.582135,0.671435,6066600,1091451,2191360,,167055,248803,73061,72330,175742,94725,0.989994661994771,0.539000352789885,0.671434829965877
648.exchange2_s-1227B.champsimtrace.xzcumulative,IPC:,0.871987,1,0,0,51,,12,12,0,0,12,12,#DIV/0!,1,1
648.exchange2_s-1247B.champsimtrace.xzcumulative,IPC:,0.90787,1,0,0,56,,4,4,0,0,4,4,#DIV/0!,1,1
648.exchange2_s-1511B.champsimtrace.xzcumulative,IPC:,0.888209,0.92,1,2,106,,23,25,0,0,25,23,#DIV/0!,0.92,0.92
648.exchange2_s-1699B.champsimtrace.xzcumulative,IPC:,0.920015,1,0,0,53,,3,3,0,0,3,3,#DIV/0!,1,1
648.exchange2_s-1712B.champsimtrace.xzcumulative,IPC:,0.95241,1,0,0,52,,4,4,0,0,4,4,#DIV/0!,1,1
648.exchange2_s-210B.champsimtrace.xzcumulative,IPC:,0.914234,-nan,0,0,39,,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
648.exchange2_s-353B.champsimtrace.xzcumulative,IPC:,0.890914,-nan,0,0,52,,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
648.exchange2_s-387B.champsimtrace.xzcumulative,IPC:,0.762273,0.909091,0,2,73,,10,11,0,0,11,10,#DIV/0!,0.909090909090909,0.909090909090909
648.exchange2_s-584B.champsimtrace.xzcumulative,IPC:,0.88692,1,0,0,58,,15,15,0,0,15,15,#DIV/0!,1,1
648.exchange2_s-72B.champsimtrace.xzcumulative,IPC:,0.902706,1,0,0,41,,2,2,0,0,2,2,#DIV/0!,1,1
649.fotonik3d_s-10881B.champsimtrace.xzcumulative,IPC:,0.477152,0.617981,1332125,8385816,4809720,,3175450,5138430,1568550,1516190,3569880,1659260,0.966618851805808,0.46479433482358,0.617980589401821
649.fotonik3d_s-1176B.champsimtrace.xzcumulative,IPC:,0.895328,0.577518,8751580,16102478,3304590,,2141760,3708560,1560310,1559860,2148260,581904,0.999711595772635,0.270872240790221,0.577517958452877
649.fotonik3d_s-1B.champsimtrace.xzcumulative,IPC:,0.483374,-nan,0,0,29,,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
649.fotonik3d_s-7084B.champsimtrace.xzcumulative,IPC:,1.03421,0.586546,2014826,17035797,4093690,,3984090,6792450,2550080,2474940,4242370,1509150,0.970534257748776,0.355732762583179,0.586546827727845
649.fotonik3d_s-8225B.champsimtrace.xzcumulative,IPC:,0.896728,0.577144,8796489,16067375,3304510,,2134640,3698620,1554680,1554300,2143940,580341,0.99975557671032,0.270689011819361,0.577144989212193
654.roms_s-1007B.champsimtrace.xzcumulative,IPC:,0.566284,0.553542,506417,5025433,971006,,902800,1630950,636341,630183,994609,272617,0.990322798625265,0.274094644227028,0.553542413930531
654.roms_s-1021B.champsimtrace.xzcumulative,IPC:,0.683475,0.769385,577176,373086,283327,,95640,124307,63052,60633,61255,35007,0.96163484108355,0.571496204391478,0.769385473062659
654.roms_s-1070B.champsimtrace.xzcumulative,IPC:,0.769308,0.570104,3082256,18219968,4117980,,3447860,6047770,2338840,2318570,3708920,1129290,0.991333310530006,0.304479471112885,0.570104352513406
654.roms_s-1390B.champsimtrace.xzcumulative,IPC:,0.726131,0.548888,5389085,26190051,5805640,,4756370,8665460,3324370,3291530,5341080,1464840,0.990121436542864,0.274259138601182,0.54888834522345
654.roms_s-1613B.champsimtrace.xzcumulative,IPC:,0.631931,0.532246,233833,2591822,468675,,438599,824053,330376,326818,493677,111781,0.989230452575248,0.226425375295993,0.53224610552962
654.roms_s-293B.champsimtrace.xzcumulative,IPC:,0.896457,0.608797,2033689,8645652,2441620,,2051700,3370090,1612560,1565860,1757530,485844,0.971039837277372,0.276435679618556,0.608796797711634
654.roms_s-294B.champsimtrace.xzcumulative,IPC:,0.891533,0.590789,1919416,10555683,3207070,,3006320,5088660,2312030,2236720,2776630,769605,0.967426893249655,0.277172327605767,0.590788144619605
654.roms_s-523B.champsimtrace.xzcumulative,IPC:,0.780864,0.54529,2229277,23178752,4085160,,3896720,7146140,2880130,2850940,4266010,1045780,0.98986504081413,0.245142416450032,0.545290184631144
654.roms_s-842B.champsimtrace.xzcumulative,IPC:,0.64223,0.545109,12226,147278,23164,,22078,40502,16185,16013,24317,6065,0.989372876119864,0.249413990212608,0.545108883511925
657.xz_s-2302B.champsimtrace.xzcumulative,IPC:,0.679956,0.351016,87107,65537,1215290,,14048,40021,5769,5449,34252,8599,0.944531114577917,0.251051033516291,0.351015716748707
657.xz_s-3167B.champsimtrace.xzcumulative,IPC:,0.842584,0.283191,145873,114211,901053,,17864,63081,8792,8214,54289,9650,0.934258416742493,0.177752399196891,0.283191452259793
657.xz_s-4994B.champsimtrace.xzcumulative,IPC:,0.859264,0.569691,113894,88850,87756,,14428,25326,8914,8902,16412,5526,0.998653803006507,0.336704850109676,0.569691226407644
657.xz_s-56B.champsimtrace.xzcumulative,IPC:,0.990592,0.571904,61227,878424,104611,,102273,178829,76544,76543,102285,25730,0.999986935618729,0.251552035977905,0.571903885835071
,,65.060857,56.6885145,169783547,597100267,340617648,0,143719768,236924529,72467916,70851416,164456608,72868294,0.977693576837507,0.443085230117357,0.606605692566345
