605.mcf_s-484B.champsimtrace.xzcumulative IPC: 0.46147 0.34012 5528042 5888914   4.44273e+06 1.30623e+07 6.05851e+06 4.43474e+06 7.00375e+06 7988 7.00396e+06 1.21842e+07 5.44064e+06 6.74356e+06 7.9465e+06 1.21561e+06 6.73088e+06
605.mcf_s-472B.champsimtrace.xzcumulative IPC: 0.368448 0.325967 9530355 11881203   8.49271e+06 2.60539e+07 1.14673e+07 8.48244e+06 1.45866e+07 10274 1.45869e+07 2.09478e+07 8.00057e+06 1.29473e+07 1.38496e+07 922208 1.29274e+07
605.mcf_s-782B.champsimtrace.xzcumulative IPC: 0.183011 0.438058 13218548 14472936   1.38143e+07 3.15353e+07 1.59193e+07 1.35639e+07 1.5616e+07 250432 1.56164e+07 4.46728e+07 1.50433e+07 2.96295e+07 3.17044e+07 1.39703e+07 1.77341e+07
607.cactuBSSN_s-4248B.champsimtrace.xzcumulative IPC: 0.954754 0.499652 215305 189235   233908 468142 234071 233907 234071 1 234071 409290 215210 194080 194133 54 194079
619.lbm_s-2676B.champsimtrace.xzcumulative IPC: 0.7928 0.496406 1366922 1295307   1.78684e+06 3.59955e+06 1.78686e+06 1.78684e+06 1.8127e+06 1 1.8127e+06 1.76234e+07 1.2228e+07 5.39541e+06 9.45842e+06 4.12838e+06 5.33004e+06
607.cactuBSSN_s-4004B.champsimtrace.xzcumulative IPC: 0.918219 0.633697 17618985 1297217   1.22703e+06 1.9363e+06 1.46209e+06 1.19636e+06 474208 30666 474208 3.88338e+07 3.7434e+07 1.39982e+06 1.61463e+06 1.07625e+06 538373
607.cactuBSSN_s-3477B.champsimtrace.xzcumulative IPC: 0.921536 0.633272 19308456 1358762   1.25273e+06 1.97819e+06 1.55004e+06 1.19532e+06 428148 57414 428148 4.10717e+07 3.9524e+07 1.54764e+06 1.74762e+06 1.21715e+06 530466
619.lbm_s-3766B.champsimtrace.xzcumulative IPC: 0.548054 0.491503 1996355 1904565   2.09682e+06 4.26614e+06 2.09697e+06 2.09681e+06 2.16918e+06 13 2.16918e+06 2.58966e+07 1.79876e+07 7.90903e+06 1.38573e+07 6.02116e+06 7.83618e+06
619.lbm_s-2677B.champsimtrace.xzcumulative IPC: 0.451144 0.490846 2420151 2329626   2.8038e+06 5.71218e+06 2.80403e+06 2.8038e+06 2.90816e+06 7 2.90816e+06 3.16502e+07 2.19798e+07 9.67043e+06 1.69426e+07 7.35871e+06 9.5839e+06
621.wrf_s-575B.champsimtrace.xzcumulative IPC: 0.568179 0.311733 2838 2550   2160 6929 3305 2160 3624 0 3624 13909 7617 6292 6726 439 6287
621.wrf_s-8065B.champsimtrace.xzcumulative IPC: 0.898295 0.546018 2509242 1473464   1.95011e+06 3.57151e+06 2.03092e+06 1.93494e+06 1.54059e+06 15164 1.5406e+06 6.0064e+06 4.08954e+06 1.91686e+06 2.687e+06 1.20375e+06 1.48325e+06
621.wrf_s-6673B.champsimtrace.xzcumulative IPC: 0.844855 0.506376 3283307 2177694   2.69316e+06 5.31849e+06 2.82257e+06 2.68191e+06 2.49592e+06 11246 2.49592e+06 8.26445e+06 5.40832e+06 2.85613e+06 3.99553e+06 1.5974e+06 2.39813e+06
620.omnetpp_s-141B.champsimtrace.xzcumulative IPC: 0.235601 0.223607 1766406 1764752   807750 3.61237e+06 1.75366e+06 701501 1.85871e+06 106249 1.85983e+06 7.40552e+06 3.69025e+06 3.71528e+06 5.45493e+06 2.33668e+06 3.11824e+06
620.omnetpp_s-874B.champsimtrace.xzcumulative IPC: 0.24785 0.231032 1976942 1789061   842572 3.64699e+06 1.77e+06 705341 1.87699e+06 137231 1.87787e+06 7.50134e+06 4.03846e+06 3.46287e+06 5.08331e+06 2.21288e+06 2.87044e+06
619.lbm_s-4268B.champsimtrace.xzcumulative IPC: 0.449876 0.490847 2404199 2334004   2.80567e+06 5.71597e+06 2.806e+06 2.80565e+06 2.90997e+06 17 2.90997e+06 3.1686e+07 2.19746e+07 9.71141e+06 1.70232e+07 7.42232e+06 9.60087e+06
623.xalancbmk_s-165B.champsimtrace.xzcumulative IPC: 0.732361 0.456666 4175695 3334601   3.93602e+06 8.61904e+06 4.29021e+06 3.936e+06 4.32883e+06 13 4.32883e+06 8.17658e+06 4.7183e+06 3.45827e+06 3.45977e+06 18308 3.44146e+06
623.xalancbmk_s-202B.champsimtrace.xzcumulative IPC: 0.654399 0.527945 5344380 4934398   5.90364e+06 1.11823e+07 6.11037e+06 5.90064e+06 5.07194e+06 3001 5.07194e+06 1.03655e+07 5.23797e+06 5.12752e+06 5.12796e+06 896564 4.2314e+06
